  I     	  II     	  AO     	  AO'		
-30.82   	 28.69   	151.33   	-462.87		
-29.60   	 28.99   	149.48   	-447.61		
-27.47   	 31.74   	147.69   	-432.35		
-24.72   	 38.45   	145.96   	-422.18		
-21.36   	 47.61   	144.27   	-412.00		
-18.62   	 56.76   	142.62   	-401.83		
-16.17   	 63.17   	141.02   	-391.66		
-14.34   	 67.14   	139.45   	-386.57		
-12.21   	 68.36   	137.90   	-381.48		
 -9.16   	 67.75   	136.38   	-371.31		
 -5.19   	 65.61   	134.89   	-371.31		
 -0.61   	 64.09   	133.41   	-356.05		
  3.36   	 65.61   	131.98   	-356.05		
  6.41   	 70.80   	130.56   	-345.88		
  9.16   	 78.43   	129.18   	-330.62		
 12.21   	 84.84   	127.85   	-325.53		
 14.95   	 86.98   	126.55   	-310.27		
 17.09   	 83.31   	125.31   	-300.10		
 17.40   	 75.07   	124.11   	-284.84		
 15.87   	 65.31   	122.97   	-269.58		
 12.51   	 54.63   	121.89   	-254.32		
  6.71   	 43.03   	120.87   	-244.15		
 -1.22   	 30.21   	119.90   	-228.89		
-11.29   	 16.48   	118.98   	-213.63		
-20.45   	  3.36   	118.13   	-208.54		
-26.55   	 -9.46   	117.29   	-193.29		
-29.30   	-22.58   	116.52   	-188.20		
-30.21   	-36.93   	115.77   	-183.11		
-32.04   	-50.35   	115.04   	-172.94		
-35.10   	-60.42   	114.34   	-167.85		
-37.54   	-64.09   	113.67   	-162.77		
-37.23   	-61.65   	113.02   	-162.77		
-34.48   	-56.46   	112.37   	-152.59		
