  I     	  II     	  AO     	  AO'		
-13.12   	 19.23   	186.04   	  30.52		
-18.01   	 -6.41   	186.16(S)	  -5.09		
-18.92   	-26.86   	186.14   	 -35.61		
-15.87   	-40.59   	186.00   	 -71.21		
-11.60   	-49.44   	185.72   	-106.82		
 -9.77   	-58.29   	185.29   	-147.51		
-12.21   	-70.50   	184.70   	-188.20		
-17.70   	-85.45   	183.95   	-233.98		
-22.58   	-98.57   	183.01   	-274.67		
-24.41   	-105.90   	181.91   	-310.27		
-23.19   	-107.12   	180.67   	-350.97		
-19.84   	-105.90   	179.27   	-371.31		
-17.40   	-105.90   	177.78   	-391.66		
-16.78   	-108.03   	176.21   	-406.92		
-17.09   	-108.95   	174.59   	-412.00		
-16.17   	-106.81   	172.94   	-417.09		
-13.73   	-101.32   	171.27   	-412.00		
-11.29   	-96.44   	169.62   	-406.92		
-10.99   	-95.52   	168.00   	-406.92		
-14.65   	-100.10   	166.37   	-391.66		
-21.67   	-107.42   	164.80   	-386.57		
-28.69   	-113.22   	163.25   	-371.31		
-31.74   	-114.44   	161.77   	-361.14		
-29.60   	-109.25   	160.32   	-350.97		
-24.72   	-100.10   	158.92   	-340.79		
-20.45   	-90.03   	157.56   	-330.62		
-19.84   	-82.40   	156.24   	-315.36		
-21.36   	-79.04   	154.97   	-315.36		
-22.58   	-79.65   	153.71   	-305.19		
-21.36   	-82.09   	152.49   	-300.10		
-18.92   	-84.84   	151.29   	-289.93		
-18.01   	-85.45   	150.13   	-289.93		
-19.23   	-83.31   	148.97   	-284.84		
-21.67   	-77.82   	147.83   	-279.75		
-22.58   	-70.50   	146.71   	-269.58		
-22.28   	-63.78   	145.64   	-269.58		
-22.28   	-61.65   	144.56   	-264.50		
-25.02   	-65.92   	143.50   	-259.41		
-29.91   	-75.38   	142.46   	-254.32		
-33.57   	-84.53   	141.44   	-249.24		
-32.65   	-88.50   	140.45   	-244.15		
-27.16   	-86.36   	139.47   	-239.06		
-20.45   	-82.40   	138.51   	-239.06		
-16.48   	-81.79   	137.56   	-228.89		
-16.78   	-85.75   	136.64   	-233.98		
-20.45   	-90.94   	135.71   	-223.80		
-23.80   	-92.47   	134.81   	-223.80		
-24.11   	-89.42   	133.92   	-218.72		
-21.06   	-85.14   	133.04   	-213.63		
-16.78   	-82.40   	132.19   	-218.72		
-14.34   	-79.96   	131.31   	-208.54		
-14.65   	-74.77   	130.48   	-208.54		
-16.48   	-63.78   	129.64   	-208.54		
-17.70   	-48.22   	128.81   	-203.46		
-17.40   	-33.26   	128.00   	-203.46		
-16.48   	-21.67   	127.18   	-198.37		
-16.48   	-13.12   	126.39   	-198.37		
-17.09   	 -3.05   	125.59   	-198.37		
-15.26   	 11.90   	124.80   	-193.29		
 -9.77   	 28.69   	124.03   	-188.20		
 -3.05   	 40.59   	123.28   	-188.20		
  1.83   	 43.03   	122.52   	-188.20		
  3.66   	 37.54   	121.77   	-178.03		
  3.05   	 31.43   	121.06   	-172.94		
  1.83   	 31.13   	120.37   	-172.94		
  1.83   	 36.32   	119.67   	-167.85		
  3.36   	 43.33   	119.00   	-167.85		
  6.71   	 48.22   	118.33   	-162.77		
 13.12   	 51.88   	117.68   	-167.85		
 21.36   	 57.68   	117.01   	-162.77		
 28.69   	 64.39   	116.36   	-162.77		
 32.65   	 68.05   	115.71   	-157.68		
 32.04   	 65.31   	115.08   	-157.68		
 28.38   	 54.63   	114.45   	-147.51		
 22.28   	 36.32   	113.86   	-147.51		
 13.43   	 11.90   	113.27   	-137.33		
  1.53   	-19.84   	112.72   	-122.07		
-11.60   	-57.68   	112.23   	-116.99		
-22.28   	-95.83   	111.76   	-101.73		
-26.86   	-126.65   	111.35   	 -96.64		
-25.02   	-144.96   	110.97   	 -81.38		
-19.84   	-150.15   	110.64   	 -66.12		
-14.65   	-146.79   	110.38   	 -61.04		
-12.21   	-140.99   	110.13   	 -45.78		
-12.51   	-137.63   	109.95   	 -50.86		
-15.26   	-139.16   	109.75   	 -45.78		
-20.75   	-145.87   	109.56   	 -66.12		
-26.25   	-154.42   	109.30   	 -86.47		
-29.30   	-159.91   	108.95   	-111.90		
-27.47   	-158.08   	108.50   	-142.42		
-22.28   	-149.23   	107.93   	-172.94		
-18.01   	-138.85   	107.24   	-188.20		
-18.01   	-134.58   	106.49   	-208.54		
-22.58   	-139.77   	105.66   	-208.54		
-28.38   	-150.45   	104.82   	-203.46		
-31.43   	-158.08   	104.01   	-198.37		
-29.60   	-155.94   	103.21   	-183.11		
-24.72   	-146.18   	102.48   	-162.77		
-20.14   	-136.11   	101.83   	-152.59		
-17.70   	-131.23   	101.22   	-132.25		
-17.09   	-131.23   	100.69   	-116.99		
-17.70   	-131.53   	100.22   	-106.82		
-17.09   	-128.78   	 99.80   	 -96.64		
-15.26   	-123.90   	 99.41   	 -86.47		
-13.12   	-120.85   	 99.06   	 -86.47		
-12.21   	-123.90   	 98.72   	 -81.38		
-13.73   	-131.23   	 98.39   	 -81.38		
-17.70   	-137.33   	 98.07   	 -81.38		
-21.36   	-137.63   	 97.74   	 -76.30		
-23.19   	-129.39   	 97.44   	 -81.38		
-21.36   	-116.58   	 97.11   	 -76.30		
-17.70   	-106.51   	 96.81   	 -81.38		
-14.04   	-104.06   	 96.48   	 -86.47		
-12.51   	-108.34   	 96.13   	 -81.38		
-12.82   	-113.83   	 95.81   	 -81.38		
-14.34   	-114.75   	 95.48   	 -81.38		
-16.17   	-111.69   	 95.16   	 -86.47		
-18.62   	-109.25   	 94.81   	 -81.38		
-20.75   	-109.86   	 94.49   	 -76.30		
-21.06   	-112.00   	 94.18   	 -81.38		
-19.53   	-111.69   	 93.86   	 -76.30		
-16.17   	-108.64   	 93.55   	 -71.21		
-13.12   	-103.76   	 93.27   	 -76.30		
-12.51   	-100.40   	 92.96   	 -71.21		
-14.65   	-97.96   	 92.68   	 -71.21		
-17.40   	-93.99   	 92.39   	 -71.21		
-18.92   	-88.81   	 92.11   	 -71.21		
-18.62   	-86.06   	 91.82   	 -71.21		
-17.40   	-88.20   	 91.54   	 -76.30		
-16.48   	-93.08   	 91.23   	 -71.21		
-16.17   	-95.21   	 90.95   	 -66.12		
-17.40   	-89.42   	 90.68   	 -66.12		
-22.28   	-75.07   	 90.42   	 -61.04		
